position	smiles	name
neg_F7	CCCCCCCCC(=O)O	zzz
neg_G7	CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	zzz
neg_H7	Cc1c[nH]c2c1cccc2	zzz
neg_A8	COc1c(OC)c(OC)cc(/C=C/C(=O)O)c1	zzz
neg_B8	C[Co+]N1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=NC(C(CC(N)=O)C5(C)CCC(=O)NCC(C)OP(=O)([O-])OC5C(CO)OC(n6cnc7cc(C)c(C)cc76)C5O)C1(C)C(C)(CC(N)=O)C2CCC(N)=O)C(CCC(N)=O)C4(C)C)C(CCC(N)=O)C3(C)CC(N)=O	zzz
neg_C8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2c(cccc2)C1=O	zzz
neg_D8	OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	zzz
neg_E8	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	zzz
neg_F8	C=CC1=C(C)c2cc3nc(cc4c(CCC(=O)O)c(C)c(cc5[nH]c(cc1n2)c(C)c5C=C)[nH]4)C(CCC(=O)O)=C3C	zzz
neg_G8	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	zzz
neg_H8	Cc1ncc(COP(=O)(O)O)c(C=O)c1O	zzz
neg_A9	NCCc1ccccc1	zzz
neg_B9	O=CO	zzz
neg_C9	CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C	zzz
neg_D9	CCCCCCC(O)C(=O)O	zzz
neg_E9	CC(=O)OC(CC(=O)O)C[N+](C)(C)C	zzz
neg_F9	O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1	zzz
neg_G9	O=CC(O)C(O)C(O)CO	zzz
neg_H9	O=Cc1ccccc1	zzz
neg_A10	NCCCCCN	zzz
neg_B10	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	zzz
neg_C10	Cc1cc(O)c(O)cc1	zzz
neg_D10	O=C(O)CNC(=O)c1ccccc1	zzz
neg_E10	O=C(O)Cc1cc(O)c(O)cc1	zzz
neg_F10	COc1c(O)ccc(CC(=O)O)c1	zzz
neg_H10	CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC	zzz
neg_A11	O=C(O)CCCCCCCCC(=O)O	zzz
neg_B11	CCCCCCCCCCCCCCCCCC(=O)O	zzz
neg_C11	O=C(O)CC(O)(CC(=O)O)C(=O)O	zzz
neg_D11	OCC1OC(O)C(O)C(O)C1O	zzz
neg_E11	CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_F11	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	zzz
neg_G11	O=C1CCC(C(=O)O)N1	zzz
neg_H11	NCCCCN	zzz
neg_A2	O=C(O)c1ccc[nH]1	zzz
neg_B2	CNC(=NCCCC(N)C(=O)O)NC	zzz
neg_C2	Nc1c(C(=O)CC(N)C(=O)O)cccc1	zzz
neg_D2	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	zzz
neg_E2	c1c[nH]cn1	zzz
neg_F2	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1	zzz
neg_G2	O=Cc1ccc(O)cc1	zzz
neg_H2	CC(N)=O	zzz
neg_A3	CCOC(=O)C(=O)C(C)C(=O)OCC	zzz
neg_B3	COc1cccc(CC(=O)O)c1	zzz
neg_C3	O=C(O)c1ccncc1	zzz
neg_D3	Cc1ccc(O)cc1	zzz
neg_E3	Oc1ccccc1-c1ccccc1	zzz
neg_F3	CC1(C)COC(=O)C1O	zzz
neg_G3	OCC1OC(O)C(O)C(O)C1O	zzz
neg_H3	COc1cccc(CCC(=O)O)c1	zzz
neg_A4	O=C(O)c1c(O)cccc1O	zzz
neg_B4	Nc1c(S(=O)(=O)O)cccc1	zzz
neg_C4	O=C1C=CC(=O)C=C1	zzz
neg_D4	Oc1ccc2ccccc2c1	zzz
neg_E4	CC(O)C(C)O	zzz
neg_F4	OCC(O)C(O)C(O)CO	zzz
neg_G4	CC(C)CC(O)C(=O)O	zzz
neg_H4	O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	zzz
neg_A5	O=C(O)CC(=O)CC(=O)O	zzz
neg_B5	Cn1ccc(=O)n(C)c1=O	zzz
neg_C5	O=C(O)CNC(=O)Cc1ccccc1	zzz
neg_D5	O=C(O)C(=O)c1ccccc1	zzz
neg_E5	CCC(CC)C(=O)O	zzz
neg_F5	O=C(O)C1CCC(O)CC1	zzz
neg_G5	COC(=O)CCCC(=O)O	zzz
neg_H5	NC(=O)CCC(NC(=O)Cc1ccccc1)C(=O)O	zzz
neg_A6	Nc1nc(=O)n(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)cc1	zzz
neg_B6	O=C(O)c1ccc(CO)o1	zzz
neg_C6	NC(Cc1cc(O)c(O)cc1)C(=O)O	zzz
neg_D6	CN(C)c1ncnc2c1[nH]cn2	zzz
neg_E6	CC(CCC(=O)NCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	zzz
neg_F6	O=C(O)/C=C\C=C/C(=O)O	zzz
neg_G6	O=C(O)c1c2ccccc2ncc1	zzz
neg_H6	O=C(O)CCCCc1ccccc1	zzz
neg_A7	O=C(O)c1cocc1	zzz
neg_B7	Cc1c(O)c(C)c2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)Oc2c1C	zzz
neg_C7	O=C(O)/C=C/c1c[nH]c2c1cccc2	zzz
neg_D7	C#CC(=O)O	zzz
neg_E7	CC(CCC(=O)O)C(=O)O	zzz
neg_F7	O=C1CC(C(=O)O)NC(=O)N1	zzz
neg_G7	O=C(O)CC(=O)C(=O)O	zzz
neg_H7	OCC(O)C(O)C(O)CO	zzz
neg_A8	Cc1ncc(COP(=O)(O)O)c(C=O)c1O	zzz
neg_B8	CC(C)(O)CC(=O)O	zzz
neg_C8	O=c1[nH]cc(CO)c(=O)[nH]1	zzz
neg_D8	O=C(O)C(=O)Cc1ccccc1	zzz
neg_E8	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1	zzz
neg_F8	CC(C)=CCCC(C)(O)C1CC=C(C)CC1	zzz
neg_G8	Cc1cn(C2OC(CO)C(O)C2O)c(=O)nc1N	zzz
neg_H8	CC(=O)C1=CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	zzz
neg_A9	NC(=O)NCCC(=O)O	zzz
neg_B9	CC(=O)OCC(N)C(=O)O	zzz
neg_C9	CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	zzz
neg_D9	O=C(O)CCCCCCCCCCCCCCC(=O)O	zzz
neg_E9	CC(C)C(=O)C(=O)O	zzz
neg_F9	O=C1CCCN1	zzz
neg_G9	O=C(O)Cc1c(O)cccc1	zzz
neg_H9	NC(=O)C(N)Cc1c[nH]c2c1cccc2	zzz
neg_A10	Cc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O	zzz
neg_B10	O=C(O)c1cc(O)cc(O)c1	zzz
neg_C10	CCC(=O)C(C)C	zzz
neg_D10	CCCCC/C=C/C(=O)O	zzz
neg_E10	C=CCC(C)C(=O)O	zzz
neg_F10	O=C(O)/C=C/C=C/C(=O)O	zzz
neg_G10	O=C(O)C/C=C/CC(=O)O	zzz
